id,file,width,height,bytes,format,quality,filter,linear_light,sharpen
camelot-guinevere,camelot-guinevere.png,128,176,47554,png,lossless,lanczos,True,15
camelot-king-arthur,camelot-king-arthur.png,128,176,51565,png,lossless,lanczos,True,15
camelot-lancelot,camelot-lancelot.png,128,176,50071,png,lossless,lanczos,True,15
camelot-merlin,camelot-merlin.png,128,176,54264,png,lossless,lanczos,True,15
camelot-mordred,camelot-mordred.png,128,176,43609,png,lossless,lanczos,True,15
camelot-morgan-le-fay,camelot-morgan-le-fay.png,128,176,47388,png,lossless,lanczos,True,15
duat-anubis,duat-anubis.png,128,176,48172,png,lossless,lanczos,True,15
duat-horus,duat-horus.png,128,176,48417,png,lossless,lanczos,True,15
duat-isis,duat-isis.png,128,176,49644,png,lossless,lanczos,True,15
duat-maat,duat-maat.png,128,176,48126,png,lossless,lanczos,True,15
duat-nephthys,duat-nephthys.png,128,176,43586,png,lossless,lanczos,True,15
duat-sekhmet,duat-sekhmet.png,128,176,52302,png,lossless,lanczos,True,15
grimmwood-big-bad-wolf,grimmwood-big-bad-wolf.png,128,176,48992,png,lossless,lanczos,True,15
grimmwood-cinderella,grimmwood-cinderella.png,128,176,50636,png,lossless,lanczos,True,15
grimmwood-evil-queen,grimmwood-evil-queen.png,128,176,47922,png,lossless,lanczos,True,15
grimmwood-gingerbread-man,grimmwood-gingerbread-man.png,128,176,48913,png,lossless,lanczos,True,15
grimmwood-goldilocks,grimmwood-goldilocks.png,128,176,48258,png,lossless,lanczos,True,15
grimmwood-hansel-gretel,grimmwood-hansel-gretel.png,128,176,48494,png,lossless,lanczos,True,15
grimmwood-pied-piper,grimmwood-pied-piper.png,128,176,51633,png,lossless,lanczos,True,15
grimmwood-puss-in-boots,grimmwood-puss-in-boots.png,128,176,50147,png,lossless,lanczos,True,15
grimmwood-rapunzel,grimmwood-rapunzel.png,128,176,55919,png,lossless,lanczos,True,15
grimmwood-red-riding-hood,grimmwood-red-riding-hood.png,128,176,47258,png,lossless,lanczos,True,15
grimmwood-rumpelstiltskin,grimmwood-rumpelstiltskin.png,128,176,55420,png,lossless,lanczos,True,15
grimmwood-snow-white,grimmwood-snow-white.png,128,176,45891,png,lossless,lanczos,True,15
huaxia-guan-yu,huaxia-guan-yu.png,128,176,53311,png,lossless,lanczos,True,15
huaxia-hua-tuo,huaxia-hua-tuo.png,128,176,47154,png,lossless,lanczos,True,15
huaxia-huang-zhong,huaxia-huang-zhong.png,128,176,49979,png,lossless,lanczos,True,15
huaxia-lu-bu,huaxia-lu-bu.png,128,176,55387,png,lossless,lanczos,True,15
huaxia-mulan,huaxia-mulan.png,128,176,46126,png,lossless,lanczos,True,15
huaxia-nezha,huaxia-nezha.png,128,176,51456,png,lossless,lanczos,True,15
huaxia-qin-shi-huang,huaxia-qin-shi-huang.png,128,176,54367,png,lossless,lanczos,True,15
huaxia-sun-wukong,huaxia-sun-wukong.png,128,176,54107,png,lossless,lanczos,True,15
huaxia-zhuge-liang,huaxia-zhuge-liang.png,128,176,52275,png,lossless,lanczos,True,15
olympus-apollo,olympus-apollo.png,128,176,53588,png,lossless,lanczos,True,15
olympus-ares,olympus-ares.png,128,176,46478,png,lossless,lanczos,True,15
olympus-athena,olympus-athena.png,128,176,51777,png,lossless,lanczos,True,15
olympus-hercules,olympus-hercules.png,128,176,53322,png,lossless,lanczos,True,15
olympus-medusa,olympus-medusa.png,128,176,51253,png,lossless,lanczos,True,15
olympus-zeus,olympus-zeus.png,128,176,55059,png,lossless,lanczos,True,15
roma-augustus,roma-augustus.png,128,176,50614,png,lossless,lanczos,True,15
