id,file,width,height,bytes,format,quality,filter,linear_light,sharpen
asgard-fenrir,asgard-fenrir.png,64,88,13298,png,lossless,lanczos,True,15
asgard-freyja,asgard-freyja.png,64,88,13819,png,lossless,lanczos,True,15
asgard-heimdall,asgard-heimdall.png,64,88,13762,png,lossless,lanczos,True,15
asgard-hel,asgard-hel.png,64,88,14123,png,lossless,lanczos,True,15
asgard-loki,asgard-loki.png,64,88,14408,png,lossless,lanczos,True,15
asgard-odin,asgard-odin.png,64,88,14382,png,lossless,lanczos,True,15
asgard-thor,asgard-thor.png,64,88,14510,png,lossless,lanczos,True,15
camelot-guinevere,camelot-guinevere.png,64,88,12744,png,lossless,lanczos,True,15
camelot-king-arthur,camelot-king-arthur.png,64,88,13300,png,lossless,lanczos,True,15
camelot-lancelot,camelot-lancelot.png,64,88,13085,png,lossless,lanczos,True,15
camelot-merlin,camelot-merlin.png,64,88,13904,png,lossless,lanczos,True,15
camelot-mordred,camelot-mordred.png,64,88,11492,png,lossless,lanczos,True,15
camelot-morgan-le-fay,camelot-morgan-le-fay.png,64,88,12502,png,lossless,lanczos,True,15
devas-durga,devas-durga.png,64,88,13389,png,lossless,lanczos,True,15
devas-ganesha,devas-ganesha.png,64,88,13311,png,lossless,lanczos,True,15
devas-hanuman,devas-hanuman.png,64,88,13247,png,lossless,lanczos,True,15
devas-indra,devas-indra.png,64,88,13748,png,lossless,lanczos,True,15
devas-kali,devas-kali.png,64,88,13485,png,lossless,lanczos,True,15
devas-shiva,devas-shiva.png,64,88,14338,png,lossless,lanczos,True,15
devas-vishnu,devas-vishnu.png,64,88,13569,png,lossless,lanczos,True,15
duat-anubis,duat-anubis.png,64,88,12561,png,lossless,lanczos,True,15
duat-horus,duat-horus.png,64,88,12839,png,lossless,lanczos,True,15
duat-isis,duat-isis.png,64,88,13105,png,lossless,lanczos,True,15
duat-maat,duat-maat.png,64,88,12630,png,lossless,lanczos,True,15
duat-nephthys,duat-nephthys.png,64,88,11450,png,lossless,lanczos,True,15
duat-sekhmet,duat-sekhmet.png,64,88,13454,png,lossless,lanczos,True,15
genesis-adam,genesis-adam.png,64,88,13261,png,lossless,lanczos,True,15
genesis-azrael,genesis-azrael.png,64,88,12956,png,lossless,lanczos,True,15
genesis-gabriel,genesis-gabriel.png,64,88,13363,png,lossless,lanczos,True,15
genesis-lucifer,genesis-lucifer.png,64,88,13526,png,lossless,lanczos,True,15
genesis-metatron,genesis-metatron.png,64,88,13510,png,lossless,lanczos,True,15
genesis-michael,genesis-michael.png,64,88,13594,png,lossless,lanczos,True,15
genesis-raphael,genesis-raphael.png,64,88,13315,png,lossless,lanczos,True,15
genesis-uriel,genesis-uriel.png,64,88,13631,png,lossless,lanczos,True,15
grimmwood-big-bad-wolf,grimmwood-big-bad-wolf.png,64,88,12911,png,lossless,lanczos,True,15
grimmwood-cinderella,grimmwood-cinderella.png,64,88,12996,png,lossless,lanczos,True,15
grimmwood-evil-queen,grimmwood-evil-queen.png,64,88,12429,png,lossless,lanczos,True,15
grimmwood-gingerbread-man,grimmwood-gingerbread-man.png,64,88,12964,png,lossless,lanczos,True,15
grimmwood-goldilocks,grimmwood-goldilocks.png,64,88,12711,png,lossless,lanczos,True,15
grimmwood-hansel-gretel,grimmwood-hansel-gretel.png,64,88,12370,png,lossless,lanczos,True,15
grimmwood-pied-piper,grimmwood-pied-piper.png,64,88,13467,png,lossless,lanczos,True,15
grimmwood-puss-in-boots,grimmwood-puss-in-boots.png,64,88,13083,png,lossless,lanczos,True,15
grimmwood-rapunzel,grimmwood-rapunzel.png,64,88,14117,png,lossless,lanczos,True,15
grimmwood-red-riding-hood,grimmwood-red-riding-hood.png,64,88,12337,png,lossless,lanczos,True,15
grimmwood-rumpelstiltskin,grimmwood-rumpelstiltskin.png,64,88,13946,png,lossless,lanczos,True,15
grimmwood-snow-white,grimmwood-snow-white.png,64,88,12178,png,lossless,lanczos,True,15
hemithea-achilles,hemithea-achilles.png,64,88,12616,png,lossless,lanczos,True,15
hemithea-ajax,hemithea-ajax.png,64,88,12983,png,lossless,lanczos,True,15
hemithea-atalanta,hemithea-atalanta.png,64,88,12508,png,lossless,lanczos,True,15
hemithea-hercules,hemithea-hercules.png,64,88,12946,png,lossless,lanczos,True,15
hemithea-jason,hemithea-jason.png,64,88,12338,png,lossless,lanczos,True,15
hemithea-medea,hemithea-medea.png,64,88,12944,png,lossless,lanczos,True,15
hemithea-odysseus,hemithea-odysseus.png,64,88,12181,png,lossless,lanczos,True,15
hemithea-perseus,hemithea-perseus.png,64,88,12469,png,lossless,lanczos,True,15
huaxia-guan-yu,huaxia-guan-yu.png,64,88,13583,png,lossless,lanczos,True,15
huaxia-hua-tuo,huaxia-hua-tuo.png,64,88,12548,png,lossless,lanczos,True,15
huaxia-huang-zhong,huaxia-huang-zhong.png,64,88,13148,png,lossless,lanczos,True,15
huaxia-lu-bu,huaxia-lu-bu.png,64,88,14198,png,lossless,lanczos,True,15
huaxia-mulan,huaxia-mulan.png,64,88,12208,png,lossless,lanczos,True,15
huaxia-nezha,huaxia-nezha.png,64,88,13536,png,lossless,lanczos,True,15
huaxia-qin-shi-huang,huaxia-qin-shi-huang.png,64,88,13759,png,lossless,lanczos,True,15
huaxia-sun-wukong,huaxia-sun-wukong.png,64,88,13790,png,lossless,lanczos,True,15
huaxia-zhuge-liang,huaxia-zhuge-liang.png,64,88,13685,png,lossless,lanczos,True,15
kami-amaterasu,kami-amaterasu.png,64,88,14884,png,lossless,lanczos,True,15
kami-inari,kami-inari.png,64,88,14145,png,lossless,lanczos,True,15
kami-izanagi,kami-izanagi.png,64,88,14081,png,lossless,lanczos,True,15
kami-izanami,kami-izanami.png,64,88,13844,png,lossless,lanczos,True,15
kami-kaguya,kami-kaguya.png,64,88,14374,png,lossless,lanczos,True,15
kami-susanoo,kami-susanoo.png,64,88,14079,png,lossless,lanczos,True,15
kami-tsukuyomi,kami-tsukuyomi.png,64,88,13951,png,lossless,lanczos,True,15
olympus-apollo,olympus-apollo.png,64,88,14128,png,lossless,lanczos,True,15
olympus-ares,olympus-ares.png,64,88,12369,png,lossless,lanczos,True,15
olympus-athena,olympus-athena.png,64,88,13634,png,lossless,lanczos,True,15
olympus-medusa,olympus-medusa.png,64,88,13710,png,lossless,lanczos,True,15
olympus-poseidon,olympus-poseidon.png,64,88,14323,png,lossless,lanczos,True,15
olympus-zeus,olympus-zeus.png,64,88,14384,png,lossless,lanczos,True,15
pandemonium-envy,pandemonium-envy.png,64,88,12806,png,lossless,lanczos,True,15
pandemonium-gluttony,pandemonium-gluttony.png,64,88,11825,png,lossless,lanczos,True,15
pandemonium-greed,pandemonium-greed.png,64,88,13805,png,lossless,lanczos,True,15
pandemonium-lust,pandemonium-lust.png,64,88,13089,png,lossless,lanczos,True,15
pandemonium-pride,pandemonium-pride.png,64,88,13579,png,lossless,lanczos,True,15
pandemonium-sloth,pandemonium-sloth.png,64,88,11844,png,lossless,lanczos,True,15
pandemonium-wrath,pandemonium-wrath.png,64,88,12834,png,lossless,lanczos,True,15
roma-augustus,roma-augustus.png,64,88,13399,png,lossless,lanczos,True,15
roma-brutus,roma-brutus.png,64,88,12059,png,lossless,lanczos,True,15
roma-cicero,roma-cicero.png,64,88,13400,png,lossless,lanczos,True,15
roma-constantine-the-great,roma-constantine-the-great.png,64,88,13078,png,lossless,lanczos,True,15
roma-julius-caesar,roma-julius-caesar.png,64,88,12538,png,lossless,lanczos,True,15
roma-spartacus,roma-spartacus.png,64,88,12520,png,lossless,lanczos,True,15
sherwood-friar-tuck,sherwood-friar-tuck.png,64,88,12480,png,lossless,lanczos,True,15
