id,file,width,height,bytes,format,quality,filter,linear_light,sharpen
asmodeus-the-redactor,asmodeus-the-redactor.png,128,176,41429,png,lossless,lanczos,True,15
campaign-gilgamesh,campaign-gilgamesh.png,128,176,47885,png,lossless,lanczos,True,15
the-anointed,the-anointed.png,128,176,51878,png,lossless,lanczos,True,15
the-auditor,the-auditor.png,128,176,41022,png,lossless,lanczos,True,15
the-bookmaker,the-bookmaker.png,128,176,48401,png,lossless,lanczos,True,15
the-chronicler,the-chronicler.png,128,176,48368,png,lossless,lanczos,True,15
the-collector,the-collector.png,128,176,45691,png,lossless,lanczos,True,15
the-herald,the-herald.png,128,176,43197,png,lossless,lanczos,True,15
the-hero-of-the-bridge,the-hero-of-the-bridge.png,128,176,47935,png,lossless,lanczos,True,15
the-last-guardian,the-last-guardian.png,128,176,44906,png,lossless,lanczos,True,15
the-mason,the-mason.png,128,176,49298,png,lossless,lanczos,True,15
the-oathkeeper,the-oathkeeper.png,128,176,51805,png,lossless,lanczos,True,15
the-outlaw,the-outlaw.png,128,176,49419,png,lossless,lanczos,True,15
the-recruiter,the-recruiter.png,128,176,48085,png,lossless,lanczos,True,15
the-strategist,the-strategist.png,128,176,46910,png,lossless,lanczos,True,15
the-trickster,the-trickster.png,128,176,45707,png,lossless,lanczos,True,15
the-understudy,the-understudy.png,128,176,42157,png,lossless,lanczos,True,15
the-undertaker,the-undertaker.png,128,176,44597,png,lossless,lanczos,True,15
the-warden-of-the-mid-road,the-warden-of-the-mid-road.png,128,176,46257,png,lossless,lanczos,True,15
the-wrecker,the-wrecker.png,128,176,47260,png,lossless,lanczos,True,15
