[parallel] 2000 games across 2 threads
  shard 0: 1000 games, seeds 20260729..20261728
  shard 1: 1000 games, seeds 20261729..20262728
  [s0] 25/1000  14s  (572 ms/game)
  [s1] 25/1000  17s  (663 ms/game)
  [s0] 50/1000  22s  (450 ms/game)
  [s1] 50/1000  28s  (553 ms/game)
  [s0] 75/1000  31s  (417 ms/game)
  [s1] 75/1000  38s  (502 ms/game)
  [s0] 100/1000  41s  (412 ms/game)
  [s1] 100/1000  46s  (456 ms/game)
  [s0] 125/1000  51s  (407 ms/game)
  [s1] 125/1000  55s  (440 ms/game)
  [s0] 150/1000  59s  (395 ms/game)
  [s1] 150/1000  65s  (436 ms/game)
  [s0] 175/1000  71s  (405 ms/game)
  [s1] 175/1000  74s  (422 ms/game)
  [s0] 200/1000  79s  (395 ms/game)
  [s1] 200/1000  83s  (413 ms/game)
  [s0] 225/1000  88s  (393 ms/game)
  [s1] 225/1000  91s  (404 ms/game)
  [s0] 250/1000  97s  (387 ms/game)
  [s1] 250/1000  99s  (397 ms/game)
  [s0] 275/1000  106s  (387 ms/game)
  [s1] 275/1000  109s  (395 ms/game)
  [s1] 300/1000  116s  (388 ms/game)
  [s0] 300/1000  117s  (390 ms/game)
  [s1] 325/1000  125s  (384 ms/game)
  [s0] 325/1000  126s  (388 ms/game)
  [s1] 350/1000  132s  (379 ms/game)
  [s0] 350/1000  136s  (389 ms/game)
  [s1] 375/1000  142s  (379 ms/game)
  [s0] 375/1000  145s  (387 ms/game)
  [s1] 400/1000  151s  (377 ms/game)
  [s0] 400/1000  154s  (384 ms/game)
  [s1] 425/1000  159s  (375 ms/game)
  [s0] 425/1000  161s  (380 ms/game)
  [s1] 450/1000  168s  (374 ms/game)
  [s0] 450/1000  169s  (375 ms/game)
  [s0] 475/1000  178s  (375 ms/game)
  [s1] 475/1000  178s  (375 ms/game)
  [s0] 500/1000  186s  (373 ms/game)
  [s1] 500/1000  187s  (375 ms/game)
  [s0] 525/1000  196s  (373 ms/game)
  [s1] 525/1000  197s  (375 ms/game)
  [s0] 550/1000  205s  (373 ms/game)
  [s1] 550/1000  207s  (376 ms/game)
  [s0] 575/1000  215s  (374 ms/game)
  [s1] 575/1000  217s  (377 ms/game)
  [s0] 600/1000  223s  (372 ms/game)
  [s1] 600/1000  225s  (375 ms/game)
  [s0] 625/1000  231s  (370 ms/game)
  [s1] 625/1000  233s  (373 ms/game)
  [s0] 650/1000  240s  (370 ms/game)
  [s1] 650/1000  241s  (371 ms/game)
  [s0] 675/1000  249s  (369 ms/game)
  [s1] 675/1000  251s  (372 ms/game)
  [s0] 700/1000  257s  (368 ms/game)
  [s1] 700/1000  259s  (370 ms/game)
  [s1] 725/1000  267s  (368 ms/game)
  [s0] 725/1000  268s  (369 ms/game)
  [s0] 750/1000  276s  (368 ms/game)
  [s1] 750/1000  277s  (370 ms/game)
  [s0] 775/1000  284s  (366 ms/game)
  [s1] 775/1000  286s  (370 ms/game)
  [s0] 800/1000  293s  (366 ms/game)
  [s1] 800/1000  294s  (368 ms/game)
  [s0] 825/1000  301s  (365 ms/game)
  [s1] 825/1000  303s  (367 ms/game)
  [s0] 850/1000  311s  (366 ms/game)
  [s1] 850/1000  312s  (367 ms/game)
  [s1] 875/1000  321s  (367 ms/game)
  [s0] 875/1000  322s  (368 ms/game)
  [s1] 900/1000  330s  (366 ms/game)
  [s0] 900/1000  330s  (367 ms/game)
  [s1] 925/1000  338s  (365 ms/game)
  [s0] 925/1000  340s  (368 ms/game)
  [s1] 950/1000  348s  (366 ms/game)
  [s0] 950/1000  349s  (368 ms/game)
  [s0] 975/1000  356s  (366 ms/game)
  [s1] 975/1000  359s  (368 ms/game)
  [s0] 1000/1000  365s  (365 ms/game)
  [s0] done: 1000 games in 365.4s
  [s0] wrote /home/user/eol/sim/.shard0.json 0.4MB
  [s0] finished (1/2)
  [s1] done: 1000 games in 367.9s
  [s1] wrote /home/user/eol/sim/.shard1.json 0.4MB
  [s1] finished (2/2)
[parallel] merging shards...
[parallel] done: 2000 games in 367.9s -> /home/user/eol/sim/results.json (0.4MB)
